Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,16.3,16.3,88,SSE,7 4,9 5,1016.3,0.0,2025-10-16
11:00 pm,16.3,16.5,87,S,6 3,9 5,1016.7,0.0,2025-10-16
10:30 pm,17.0,17.1,85,S,7 4,11 6,1017.0,0.0,2025-10-16
10:00 pm,17.1,17.0,81,SSE,7 4,9 5,1017.1,0.0,2025-10-16
9:30 pm,17.1,17.5,86,S,6 3,9 5,1017.6,0.0,2025-10-16
9:00 pm,17.0,17.7,85,SSW,4 2,9 5,1017.8,0.0,2025-10-16
8:30 pm,17.1,17.7,83,SSW,4 2,7 4,1017.8,0.0,2025-10-16
8:00 pm,17.4,18.8,82,CALM,0 0,0 0,1017.7,0.0,2025-10-16
7:30 pm,18.2,18.5,79,SW,6 3,7 4,1017.5,0.0,2025-10-16
7:00 pm,19.0,19.2,76,SW,7 4,11 6,1017.6,0.0,2025-10-16
6:30 pm,19.5,19.6,73,SSW,7 4,13 7,1017.6,0.0,2025-10-16
